Name,Type,County,State FIPS Code,Incorporated Area FIPS Code,Source,"Area (Square Miles, Calculated)",Estimated Population (2020),Estimated Population (2010),Estimated Population (2000),SHAPE__Length,SHAPE__Area
Amo,Town,Hendricks County,18,1450,2024 Data Harvest,0.624,408,401,404,0.072,0
Anderson,City,Madison County,18,1468,2024 Data Harvest,41.767,"54,788","56,129","59,636",1.139,0.011
Andrews,Town,Huntington County,18,1612,2024 Data Harvest,0.641,"1,048","1,149","1,337",0.097,0
Angola,City,Steuben County,18,1666,2024 Data Harvest,6.633,"9,340","8,612","7,374",0.429,0.002
Arcadia,Town,Hamilton County,18,1954,2024 Data Harvest,0.562,"1,515","1,666","1,752",0.09,0
Argos,Town,Marshall County,18,2044,2024 Data Harvest,1.293,"1,777","1,691","1,595",0.143,0
Ashley,Town,Dekalb/Steuben County,18,2458,2024 Data Harvest,1.892,"1,026",983,"1,026",0.196,0.001
Atlanta,Town,Hamilton County,18,2602,2024 Data Harvest,0.313,712,725,715,0.048,0
Attica,City,Fountain County,18,2620,2024 Data Harvest,2.552,"3,036","3,245","3,517",0.193,0
Auburn,City,Dekalb County,18,2674,2024 Data Harvest,8.09,"13,412","12,731","12,068",0.515,0.002
Aurora,City,Dearborn County,18,2782,2024 Data Harvest,3.523,"3,479","3,750","3,921",0.374,0.001
Austin,City,Scott County,18,2800,2024 Data Harvest,2.665,"4,064","4,295","4,716",0.217,0.001
Avon,Town,Hendricks County,18,2908,2024 Data Harvest,19.725,"21,474","12,446","5,840",1.62,0.005
Bainbridge,Town,Putnam County,18,3142,2024 Data Harvest,0.4,684,746,790,0.055,0
Batesville,City,Ripley/Franklin County,18,3664,2024 Data Harvest,5.886,"7,202","6,520","6,059",0.713,0.002
Battle Ground,Town,Tippecanoe County,18,3718,2024 Data Harvest,1.024,"1,838","1,334","1,359",0.144,0
Bedford,City,Lawrence County,18,4114,2024 Data Harvest,11.982,"13,792","13,413","13,880",0.269,0.003
Berne,City,Adams County,18,4888,2024 Data Harvest,2.344,"4,173","3,999","4,230",0.217,0.001
Bethany,Town,Morgan County,18,4978,2024 Data Harvest,0.068,95,81,94,0.018,0
Beverly Shores,Town,Porter County,18,5158,2024 Data Harvest,3.78,599,613,672,0.205,0.001
Bicknell,City,Knox County,18,5176,2024 Data Harvest,1.322,"3,029","2,915","3,424",0.166,0
Bloomfield,Town,Greene County,18,5716,2024 Data Harvest,1.322,"2,289","2,405","2,497",0.194,0
Bloomingdale,Town,Parke County,18,5788,2024 Data Harvest,0.571,269,335,293,0.052,0
Bloomington,City,Monroe County,18,5860,2024 Data Harvest,23.423,"79,168","80,405","69,229",0.832,0.006
Blountsville,Town,Henry County,18,5896,2024 Data Harvest,0.114,98,134,180,0.029,0
Bluffton,City,Wells County,18,6220,2024 Data Harvest,8.607,"10,308","9,897","9,645",0.4,0.002
Boonville,City,Warrick County,18,6616,2024 Data Harvest,5.928,"6,712","6,246","7,029",0.356,0.002
Borden,Town,Clark County,18,6634,2024 Data Harvest,1.748,786,808,911,0.225,0
Boston,Town,Wayne County,18,6652,2024 Data Harvest,0.218,150,138,198,0.031,0
Boswell,Town,Benton County,18,6706,2024 Data Harvest,0.474,800,778,846,0.048,0
Bourbon,Town,Marshall County,18,6760,2024 Data Harvest,1.141,"1,698","1,810","1,710",0.176,0
Brazil,City,Clay County,18,7174,2024 Data Harvest,3.001,"8,181","7,912","8,337",0.215,0.001
Bremen,Town,Marshall County,18,7318,2024 Data Harvest,2.894,"4,696","4,588","4,580",0.228,0.001
Bristol,Town,Elkhart County,18,7750,2024 Data Harvest,4.62,"1,789","1,602","1,382",0.352,0.002
Brook,Town,Newton County,18,7966,2024 Data Harvest,0.684,939,997,"1,061",0.065,0
Brooklyn,Town,Morgan County,18,8038,2024 Data Harvest,1.012,"2,511","1,598","1,572",0.118,0
Brooksburg,Town,Jefferson County,18,8092,2024 Data Harvest,0.112,72,81,74,0.024,0
Brookston,Town,White County,18,8146,2024 Data Harvest,0.624,"1,631","1,554","1,725",0.096,0
Brownsburg,Town,Hendricks County,18,8416,2024 Data Harvest,17.023,"28,973","21,285","14,344",1.211,0.005
Brownstown,Town,Jackson County,18,8470,2024 Data Harvest,1.623,"3,025","2,947","3,034",0.137,0
Bruceville,Town,Knox County,18,8578,2024 Data Harvest,0.342,450,478,451,0.057,0
Bryant,Town,Jay County,18,8704,2024 Data Harvest,0.326,239,252,297,0.05,0
Bunker Hill,Town,Miami County,18,9136,2024 Data Harvest,0.382,814,888,980,0.085,0
Burket,Town,Kosciusko County,18,9226,2024 Data Harvest,0.071,123,195,199,0.018,0
Burlington,Town,Carroll County,18,9244,2024 Data Harvest,0.612,517,603,438,0.109,0
Burnettsville,Town,White County,18,9316,2024 Data Harvest,0.741,390,346,378,0.106,0
Burns Harbor,Town,Porter County,18,9370,2024 Data Harvest,6.411,"2,055","1,156",782,0.266,0.002
Butler,City,Dekalb County,18,9532,2024 Data Harvest,2.028,"2,635","2,684","2,727",0.166,0.001
Cadiz,Town,Henry County,18,9712,2024 Data Harvest,0.145,163,150,160,0.04,0
Cambridge City,Town,Wayne County,18,9874,2024 Data Harvest,1.014,"1,751","1,870","2,135",0.101,0
Camden,Town,Carroll County,18,9910,2024 Data Harvest,0.251,593,611,595,0.054,0
Campbellsburg,Town,Washington County,18,10000,2024 Data Harvest,1.007,529,585,549,0.066,0
Cannelburg,Town,Daviess County,18,10090,2024 Data Harvest,0.207,176,135,121,0.042,0
Cannelton,City,Perry County,18,10108,2024 Data Harvest,1.922,"1,524","1,563","1,220",0.166,0.001
Carlisle,Town,Sullivan County,18,10270,2024 Data Harvest,0.461,625,692,"2,553",0.059,0
Carmel,City,Hamilton County,18,10342,2024 Data Harvest,50.049,"99,757","79,191","37,802",0.599,0.014
Carthage,Town,Rush County,18,10612,2024 Data Harvest,0.526,918,927,934,0.102,0
Cayuga,Town,Vermillion County,18,10954,2024 Data Harvest,1.028,952,"1,162","1,090",0.1,0
Cedar Grove,Town,Franklin County,18,11044,2024 Data Harvest,0.154,150,156,182,0.035,0
Cedar Lake,Town,Lake County,18,11062,2024 Data Harvest,10.643,"14,106","11,560","9,196",0.434,0.003
Center Point,Town,Clay County,18,11746,2024 Data Harvest,0.759,213,242,283,0.058,0
Centerville,Town,Wayne County,18,11836,2024 Data Harvest,3.542,"2,748","2,552","2,476",0.277,0.001
Chalmers,Town,White County,18,11944,2024 Data Harvest,0.32,523,508,501,0.06,0
Chandler,Town,Warrick County,18,12034,2024 Data Harvest,2.971,"3,693","2,887","2,951",0.267,0.001
Charlestown,City,Clark County,18,12124,2024 Data Harvest,12.154,"7,775","7,585","6,038",0.601,0.003
Chesterfield,Town,Madison/Delaware County,18,12376,2024 Data Harvest,1.335,"2,490","2,547","3,025",0.209,0
Chesterton,Town,Porter County,18,12412,2024 Data Harvest,9.528,"14,241","13,068","10,434",0.702,0.003
Chrisney,Town,Spencer County,18,12574,2024 Data Harvest,0.734,465,481,554,0.136,0
Churubusco,Town,Whitley County,18,12610,2024 Data Harvest,1.061,"1,870","1,796","1,665",0.108,0
Cicero,Town,Hamilton County,18,12628,2024 Data Harvest,2.272,"5,301","4,812","3,990",0.255,0.001
Clarks Hill,Town,Tippecanoe County,18,12898,2024 Data Harvest,0.272,600,611,703,0.038,0
Clarksville,Town,Clark County,18,12934,2024 Data Harvest,10.106,"22,333","21,724","21,494",0.569,0.003
Clay City,Town,Clay County,18,13276,2024 Data Harvest,0.543,878,861,"1,033",0.058,0
Claypool,Town,Kosciusko County,18,13312,2024 Data Harvest,0.253,396,431,317,0.052,0
Clayton,Town,Hendricks County,18,13366,2024 Data Harvest,0.646,908,972,737,0.078,0
Clear Lake,Town,Steuben County,18,13438,2024 Data Harvest,2.442,354,339,274,0.165,0.001
Clermont,Town,Marion County,18,13492,2024 Data Harvest,0.668,"1,384","1,356","1,468",0.08,0
Clifford,Town,Bartholomew County,18,13582,2024 Data Harvest,0.088,205,233,271,0.02,0
Clinton,City,Vermillion County,18,13780,2024 Data Harvest,2.053,"4,831","4,893","5,134",0.185,0.001
Cloverdale,Town,Putnam County,18,13852,2024 Data Harvest,3.549,"2,060","2,172","2,253",0.22,0.001
Coatesville,Town,Hendricks County,18,14050,2024 Data Harvest,0.664,555,523,531,0.065,0
Colfax,Town,Clinton County,18,14284,2024 Data Harvest,0.364,702,691,776,0.067,0
Columbia City,City,Whitley County,18,14716,2024 Data Harvest,5.878,"9,892","8,750","7,136",0.35,0.002
Columbus,City,Bartholomew County,18,14734,2024 Data Harvest,29.358,"50,474","44,061","39,137",1.513,0.008
Connersville,City,Fayette County,18,14932,2024 Data Harvest,7.178,"13,324","13,481","15,412",0.427,0.002
Converse,Town,Miami/Grant County,18,14986,2024 Data Harvest,0.904,"1,161","1,265","1,156",0.16,0
Corunna,Town,Dekalb County,18,15220,2024 Data Harvest,0.179,236,254,230,0.044,0
Corydon,Town,Harrison County,18,15256,2024 Data Harvest,1.57,"3,153","3,122","2,909",0.226,0
Country Club Heights,Town,Madison County,18,15364,2024 Data Harvest,0.293,98,79,91,0.038,0
Covington,City,Fountain County,18,15490,2024 Data Harvest,1.418,"2,668","2,645","2,566",0.152,0
Crandall,Town,Harrison County,18,15634,2024 Data Harvest,0.108,134,152,157,0.029,0
Crane,Town,Martin County,18,15652,2024 Data Harvest,0.142,166,184,193,0.029,0
Crawfordsville,City,Montgomery County,18,15742,2024 Data Harvest,9.981,"16,306","15,915","15,253",0.611,0.003
Crothersville,Town,Jackson County,18,16084,2024 Data Harvest,1.159,"1,509","1,591","1,559",0.133,0.001
Crown Point,City,Lake County,18,16138,2024 Data Harvest,19.035,"33,899","27,317","19,567",0.869,0.005
Crows Nest,Town,Marion County,18,16156,2024 Data Harvest,0.4,67,73,96,0.054,0
Culver,Town,Marshall County,18,16300,2024 Data Harvest,1.035,"1,129","1,353","1,544",0.152,0
Cumberland,Town,Hancock/Marion County,18,16336,2024 Data Harvest,2.85,"5,954","5,169","5,384",0.298,0.001
Cynthiana,Town,Posey County,18,16534,2024 Data Harvest,0.385,552,545,691,0.058,0
Dale,Town,Spencer County,18,16624,2024 Data Harvest,2.425,"1,544","1,593","1,574",0.232,0.001
Daleville,Town,Delware County,18,16642,2024 Data Harvest,2.133,"1,651","1,647","1,592",0.182,0.001
Dana,Town,Vermillion County,18,16732,2024 Data Harvest,0.345,555,608,658,0.045,0
Danville,Town,Hendricks County,18,16804,2024 Data Harvest,9.808,"10,559","9,001","6,362",0.861,0.003
Darlington,Town,Montgomery County,18,16840,2024 Data Harvest,0.334,711,843,879,0.066,0
Darmstadt,Town,Vanderburgh County,18,16858,2024 Data Harvest,4.579,"1,373","1,407","1,301",0.151,0.001
Dayton,Town,Tippecanoe County,18,17002,2024 Data Harvest,1.148,"1,330","1,420","1,108",0.11,0
Decatur,City,Adams County,18,17074,2024 Data Harvest,6.123,"9,913","9,405","9,460",0.565,0.002
Decker,Town,Knox County,18,17110,2024 Data Harvest,0.179,199,249,277,0.04,0
Delphi,City,Carroll County,18,17614,2024 Data Harvest,2.626,"2,961","2,893","2,960",0.219,0.001
DeMotte,Town,Jasper County,18,17722,2024 Data Harvest,3.578,"4,168","3,814","3,229",0.228,0.001
Denver,Town,Miami County,18,17776,2024 Data Harvest,0.268,478,482,590,0.061,0
Dillsboro,Town,Dearborn County,18,18190,2024 Data Harvest,1.35,"1,360","1,327","1,410",0.155,0
Dublin,Town,Wayne County,18,18766,2024 Data Harvest,0.529,679,790,733,0.072,0
Dugger,Town,Sullivan County,18,18892,2024 Data Harvest,0.605,797,920,949,0.06,0
Dune Acres,Town,Porter County,18,18982,2024 Data Harvest,2.168,234,182,193,0.142,0.001
Dunkirk,City,Jay/Blackford County,18,19054,2024 Data Harvest,1.189,"2,164","2,362","2,704",0.123,0
Dunreith,Town,Henry County,18,19162,2024 Data Harvest,0.124,171,177,170,0.034,0
Dupont,Town,Jefferson County,18,19180,2024 Data Harvest,1.021,343,339,383,0.07,0
Dyer,Town,Lake County,18,19270,2024 Data Harvest,6.146,"16,517","16,390","13,856",0.235,0.002
Earl Park,Town,Benton County,18,19450,2024 Data Harvest,0.888,370,348,489,0.067,0
East Chicago,City,Lake County,18,19486,2024 Data Harvest,14.789,"26,370","29,698","32,414",0.391,0.004
East Germantown,Town,Wayne County,18,19756,2024 Data Harvest,0.117,261,410,229,0.031,0
Eaton,Town,Delaware County,18,20080,2024 Data Harvest,3.774,"1,595","1,805","1,589",0.21,0.001
Economy,Town,Wayne County,18,20152,2024 Data Harvest,0.089,145,187,194,0.031,0
Edgewood,Town,Madison County,18,20332,2024 Data Harvest,0.804,"2,053","1,913","2,020",0.1,0
Edinburgh,Town,Johnson/Bartholomew/Shelby County,18,20404,2024 Data Harvest,3.891,"4,435","4,480","4,637",0.166,0
Edwardsport,Town,Knox County,18,20458,2024 Data Harvest,0.278,286,303,360,0.067,0
Elberfeld,Town,Warrick County,18,20638,2024 Data Harvest,0.28,644,625,624,0.06,0
Elizabeth,Town,Harrison County,18,20674,2024 Data Harvest,0.261,199,162,137,0.066,0
Elizabethtown,Town,Bartholomew County,18,20692,2024 Data Harvest,0.262,406,504,393,0.054,0
Elkhart,City,Elkhart County,18,20728,2024 Data Harvest,28.898,"53,923","50,949","51,701",1.776,0.008
Ellettsville,Town,Monroe County,18,20800,2024 Data Harvest,5.171,"6,655","6,378","5,173",0.605,0.001
Elnora,Town,Daviess County,18,20998,2024 Data Harvest,0.975,631,640,721,0.071,0
Elwood,City,Madison/Tipton County,18,21070,2024 Data Harvest,4.006,"8,410","8,614","9,455",0.381,0.001
English,Town,Crawford County,18,21214,2024 Data Harvest,1.062,685,645,728,0.163,0.001
Etna Green,Town,Kosciusko County,18,21502,2024 Data Harvest,0.495,570,586,655,0.117,0
Evansville,City,Vanderburgh County,18,22000,2024 Data Harvest,47.797,"117,298","117,429","121,877",0.786,0.013
Fairland,Town,Shelby County,18,22396,2024 Data Harvest,1.151,542,315,,0.097,0
Fairmount,Town,Grant County,18,22432,2024 Data Harvest,1.525,"2,682","2,954","2,865",0.135,0
Fairview Park,Town,Vermillion County,18,22576,2024 Data Harvest,0.923,"1,409","1,386","1,517",0.082,0
Farmersburg,Town,Sullivan County,18,22738,2024 Data Harvest,0.749,"1,069","1,118","1,206",0.087,0
Farmland,Town,Randolph County,18,22792,2024 Data Harvest,0.516,"1,270","1,333","1,444",0.095,0
Fillmore,Town,Putnam County,18,23188,2024 Data Harvest,1.947,532,533,525,0.091,0
Fishers,City,Hamilton County,18,23278,2024 Data Harvest,38.273,"98,977","76,794","38,937",2.118,0.01
Flora,Town,Carroll County,18,23692,2024 Data Harvest,1.134,"2,094","2,036","2,190",0.13,0
Fort Branch,Town,Gibson County,18,24250,2024 Data Harvest,1.09,"2,965","2,771","2,321",0.096,0
Fort Wayne,City,Allen County,18,25000,2024 Data Harvest,110.98,"263,886","253,691","205,941",1.684,0.031
Fortville,Town,Hancock County,18,24286,2024 Data Harvest,3.608,"4,784","3,929","3,449",0.373,0.001
Fountain City,Town,Wayne County,18,25090,2024 Data Harvest,0.264,714,796,723,0.051,0
Fowler,Town,Benton County,18,25180,2024 Data Harvest,1.405,"2,337","2,317","2,407",0.112,0
Fowlerton,Town,Grant County,18,25198,2024 Data Harvest,0.199,268,261,291,0.045,0
Francesville,Town,Pulaski County,18,25288,2024 Data Harvest,0.33,852,879,888,0.052,0
Francisco,Town,Gibson County,18,25306,2024 Data Harvest,0.61,545,469,525,0.088,0
Frankton,Town,Madison County,18,25702,2024 Data Harvest,1.059,"1,775","1,862","1,909",0.112,0
Fremont,Town,Steuben County,18,25882,2024 Data Harvest,3.111,"2,034","2,138","1,699",0.189,0.001
French Lick,Town,Orange County,18,25972,2024 Data Harvest,2.057,"1,722","1,807","1,883",0.173,0.001
Fulton,Town,Fulton County,18,26152,2024 Data Harvest,0.184,303,333,334,0.039,0
Galveston,Town,Cass County,18,26242,2024 Data Harvest,0.488,"1,288","1,311","1,569",0.078,0
Garrett,City,Dekalb County,18,26386,2024 Data Harvest,4.155,"6,542","6,286","5,896",0.307,0.001
Gary,City,Lake County,18,27000,2024 Data Harvest,50.593,"69,093","80,294","102,746",0.66,0.014
Gas City,City,Grant County,18,27054,2024 Data Harvest,4.625,"6,157","5,965","5,998",0.389,0.001
Gaston,Town,Delaware County,18,27072,2024 Data Harvest,0.362,796,871,"1,002",0.061,0
Geneva,Town,Adams County,18,27216,2024 Data Harvest,1.226,"1,257","1,293","1,381",0.13,0
Gentryville,Town,Spencer County,18,27270,2024 Data Harvest,0.395,243,268,250,0.056,0
Georgetown,Town,Floyd County,18,27324,2024 Data Harvest,2.185,"3,805","2,876","2,216",0.272,0.001
Glenwood,Town,Rush County,18,28062,2024 Data Harvest,0.142,245,250,308,0.032,0
Goodland,Town,Newton County,18,28332,2024 Data Harvest,0.76,980,"1,043","1,091",0.085,0
Goshen,City,Elkhart County,18,28386,2024 Data Harvest,18.196,"34,517","31,719","29,288",0.907,0.005
Gosport,Town,Owen County,18,28440,2024 Data Harvest,0.367,842,826,702,0.05,0
Grabill,Town,Allen County,18,28494,2024 Data Harvest,0.654,"1,112","1,053","1,131",0.078,0
Grandview,Town,Spencer County,18,28692,2024 Data Harvest,0.96,698,749,708,0.084,0
Greencastle,City,Putnam County,18,29358,2024 Data Harvest,5.259,"9,820","10,326","9,615",0.253,0.001
Greendale,City,Dearborn County,18,29448,2024 Data Harvest,5.731,"4,602","4,520","4,264",0.283,0.002
Greenfield,City,Hancock County,18,29520,2024 Data Harvest,14.324,"23,488","20,602","14,545",0.686,0.004
Greens Fork,Town,Wayne County,18,29754,2024 Data Harvest,0.141,335,423,384,0.037,0
Greensboro,Town,Henry County,18,29682,2024 Data Harvest,0.111,123,143,182,0.028,0
Greensburg,City,Decatur County,18,29718,2024 Data Harvest,9.062,"12,312","11,492","10,321",0.784,0.003
Greentown,Town,Howard County,18,29772,2024 Data Harvest,1.382,"2,370","2,415","2,611",0.196,0
Greenville,Town,Floyd County,18,29844,2024 Data Harvest,0.9,"1,365",595,620,0.18,0
Griffin,Town,Posey County,18,30024,2024 Data Harvest,0.065,143,172,145,0.02,0
Griffith,Town,Lake County,18,30042,2024 Data Harvest,7.767,"16,528","16,893","17,332",0.254,0.002
Hagerstown,Town,Wayne County,18,30402,2024 Data Harvest,1.322,"1,681","1,787","1,782",0.088,0
Hamilton,Town,Steuben/Dekalb County,18,30594,2024 Data Harvest,3.023,"1,529","1,532","1,244",0.236,0.001
Hamlet,Town,Starke County,18,30708,2024 Data Harvest,0.982,773,800,841,0.091,0
Hammond,City,Lake County,18,31000,2024 Data Harvest,23.863,"77,879","80,830","83,048",0.499,0.007
Hanover,Town,Jefferson County,18,31216,2024 Data Harvest,2.169,"3,743","3,546","2,866",0.154,0.001
Hardinsburg,Town,Washington County,18,31396,2024 Data Harvest,2.067,222,248,252,0.101,0.001
Harmony,Town,Clay County,18,31486,2024 Data Harvest,0.838,677,656,536,0.081,0
Hartford City,City,Blackford County,18,32242,2024 Data Harvest,3.822,"6,086","6,220","6,938",0.326,0.001
Hartsville,Town,Bartholomew County,18,32332,2024 Data Harvest,0.326,317,362,362,0.046,0
Haubstadt,Town,Gibson County,18,32512,2024 Data Harvest,0.72,"1,638","1,577","1,536",0.08,0
Hazleton,Town,Gibson County,18,32728,2024 Data Harvest,0.345,194,263,290,0.057,0
Hebron,Town,Porter County,18,32818,2024 Data Harvest,1.977,"3,755","3,724","3,588",0.196,0.001
Highland,Town,Lake County,18,33466,2024 Data Harvest,6.958,"23,984","23,727","23,546",0.206,0.002
Hillsboro,Town,Fountain County,18,33862,2024 Data Harvest,0.457,508,538,467,0.044,0
Hobart,City,Lake County,18,34114,2024 Data Harvest,26.54,"29,752","29,059","25,400",0.467,0.007
Holton,Town,Ripley County,18,34366,2024 Data Harvest,1.834,417,480,416,0.119,0
Homecroft,Town,Marion County,18,34420,2024 Data Harvest,0.219,752,722,753,0.041,0
Hope,Town,Bartholomew County,18,34744,2024 Data Harvest,0.947,"2,099","2,102","2,145",0.111,0
Hudson,Town,Steuben County,18,35086,2024 Data Harvest,0.676,585,518,610,0.064,0
Huntertown,Town,Allen County,18,35266,2024 Data Harvest,7.875,"9,141","4,810","1,756",0.475,0.002
Huntington,City,Huntington County,18,35302,2024 Data Harvest,9.571,"17,022","17,391","17,589",0.372,0.003
Hymera,Town,Sullivan County,18,35500,2024 Data Harvest,0.706,653,801,814,0.071,0
Indian Village,Town,St Joseph County,18,36306,2024 Data Harvest,0.09,118,133,140,0.021,0
Ingalls,Town,Madison County,18,36342,2024 Data Harvest,3.127,"2,223","2,394","1,204",0.462,0.001
Jamestown,Town,Boone/Hendricks County,18,37692,2024 Data Harvest,0.887,942,958,900,0.153,0
Jasonville,City,Greene County,18,37764,2024 Data Harvest,1.254,"1,983","2,222","2,482",0.127,0
Jeffersonville,City,Clark County,18,38358,2024 Data Harvest,33.888,"49,447","44,953","27,463",0.706,0.009
Jonesboro,City,Grant County,18,38862,2024 Data Harvest,0.791,"1,516","1,756","1,888",0.088,0
Jonesville,Town,Bartholomew County,18,38916,2024 Data Harvest,0.153,178,177,232,0.038,0
Kempton,Town,Tipton County,18,39366,2024 Data Harvest,0.155,288,335,397,0.034,0
Kennard,Town,Henry County,18,39438,2024 Data Harvest,0.424,451,471,433,0.065,0
Kentland,Town,Newton County,18,39546,2024 Data Harvest,1.312,"1,641","1,748","1,836",0.205,0
Kewanna,Town,Fulton County,18,39618,2024 Data Harvest,0.555,576,613,601,0.062,0
Kingman,Town,Fountain County,18,39798,2024 Data Harvest,0.564,559,511,535,0.082,0
Kingsbury,Town,Laporte County,18,39816,2024 Data Harvest,0.605,190,242,210,0.076,0
Kingsford Heights,Town,Laporte County,18,39852,2024 Data Harvest,0.906,"1,335","1,435","1,453",0.078,0
Kirklin,Town,Clinton County,18,39942,2024 Data Harvest,0.415,710,788,783,0.059,0
Knightstown,Town,Henry County,18,40266,2024 Data Harvest,1.046,"2,140","2,182","2,140",0.138,0
Knightsville,Town,Clay County,18,40302,2024 Data Harvest,1.037,702,872,640,0.069,0
Knox,City,Starke County,18,40374,2024 Data Harvest,3.953,"3,662","3,704","3,808",0.005,0
Kokomo,City,Howard County,18,40392,2024 Data Harvest,36.765,"59,604","45,468","45,967",0.63,0.01
Kouts,Town,Porter County,18,40518,2024 Data Harvest,1.212,"2,028","1,879","1,698",0.093,0
La Crosse,Town,Laporte County,18,40662,2024 Data Harvest,0.566,555,551,539,0.081,0
La Fontaine,Town,Wabash County,18,40842,2024 Data Harvest,0.606,798,875,921,0.092,0
La Paz,Town,Marshall County,18,42192,2024 Data Harvest,0.381,475,561,504,0.057,0
La Porte,City,Laporte County,18,42246,2024 Data Harvest,13.159,"22,471","22,053","21,597",0.709,0.004
Laconia,Town,Harrison County,18,40644,2024 Data Harvest,0.048,73,50,29,0.014,0
Ladoga,Town,Montgomery County,18,40698,2024 Data Harvest,0.537,"1,081",985,"1,006",0.071,0
Lafayette,City,Tippecanoe County,18,40788,2024 Data Harvest,30.405,"70,783","67,140","56,244",0.639,0.008
Lagrange,Town,Lagrange County,18,40860,2024 Data Harvest,1.758,"2,715","2,625","2,956",0.18,0
Lagro,Town,Wabash County,18,40896,2024 Data Harvest,0.676,349,415,474,0.097,0
Lake Station,City,Lake County,18,41535,2024 Data Harvest,8.417,"13,235","12,572","13,975",0.338,0.002
Lakeville,Town,St Joseph County,18,41670,2024 Data Harvest,0.869,879,786,558,0.133,0
Lanesville,Town,Harrison County,18,42048,2024 Data Harvest,0.933,935,564,621,0.121,0
